day,label,hr_maxHeartRate,hr_minHeartRate,hr_restingHeartRate,hr_lastSevenDaysAvgRestingHeartRate,resp_lowestRespirationValue,resp_highestRespirationValue,resp_avgWakingRespirationValue,resp_avgSleepRespirationValue,resp_avgTomorrowSleepRespirationValue,str_maxStressLevel,str_avgStressLevel,sleep_sleepTimeSeconds,sleep_napTimeSeconds,sleep_unmeasurableSleepSeconds,sleep_deepSleepSeconds,sleep_lightSleepSeconds,sleep_remSleepSeconds,sleep_awakeSleepSeconds,act_totalCalories,act_activeKilocalories,act_distance,act_activeTime,sleep_averageRespirationValue,sleep_lowestRespirationValue,sleep_highestRespirationValue,sleep_awakeCount,sleep_avgSleepStress,sleep_avgHeartRate,client_id,user_id,source_file,ts__hr_time_series__len,ts__hr_time_series__mean,ts__hr_time_series__std,ts__hr_time_series__min,ts__hr_time_series__max,ts__hr_time_series__range,ts__hr_time_series__median,ts__hr_time_series__mad,ts__hr_time_series__energy,ts__hr_time_series__q10,ts__hr_time_series__q25,ts__hr_time_series__q50,ts__hr_time_series__q75,ts__hr_time_series__q90,ts__hr_time_series__slope,ts__hr_time_series__diff_mean,ts__hr_time_series__diff_std,ts__hr_time_series__diff_abs_mean,ts__resp_time_series__len,ts__resp_time_series__mean,ts__resp_time_series__std,ts__resp_time_series__min,ts__resp_time_series__max,ts__resp_time_series__range,ts__resp_time_series__median,ts__resp_time_series__mad,ts__resp_time_series__energy,ts__resp_time_series__q10,ts__resp_time_series__q25,ts__resp_time_series__q50,ts__resp_time_series__q75,ts__resp_time_series__q90,ts__resp_time_series__slope,ts__resp_time_series__diff_mean,ts__resp_time_series__diff_std,ts__resp_time_series__diff_abs_mean,ts__stress_time_series__len,ts__stress_time_series__mean,ts__stress_time_series__std,ts__stress_time_series__min,ts__stress_time_series__max,ts__stress_time_series__range,ts__stress_time_series__median,ts__stress_time_series__mad,ts__stress_time_series__energy,ts__stress_time_series__q10,ts__stress_time_series__q25,ts__stress_time_series__q50,ts__stress_time_series__q75,ts__stress_time_series__q90,ts__stress_time_series__slope,ts__stress_time_series__diff_mean,ts__stress_time_series__diff_std,ts__stress_time_series__diff_abs_mean
6,79,140.0,62.0,,,7.0,,14.0,,13.0,87.0,38.0,,,,,,,,2949.0,768.0,5179.0,,13.0,10.0,20.0,0.0,8.0,61.0,group4,4,dataset_user_4_train.csv,,,16.620958140033203,62.0,140.0,78.0,,9.0,,,,,,118.0,,0.03619909502262444,7.831283826270186,,,14.43,2.526875541058562,9.0,20.0,,15.0,2.0,214.61,11.0,13.0,15.0,16.0,18.0,,,,,,37.04,17.105507884889008,8.0,74.0,66.0,36.5,13.5,1664.56,14.0,23.0,36.5,49.0,60.1,,,12.620893936845277,
6,85,117.0,,,,,20.0,14.0,,14.0,,,,,,,,,,1964.0,145.0,3031.0,,14.0,10.0,19.0,,13.0,66.0,group4,40,dataset_user_40_train.csv,,,11.99071906726198,,117.0,41.0,88.0,7.5,8688.46875,,,88.0,104.0,109.7,,,,,,14.23076923076923,,,20.0,10.0,14.0,2.0,209.10256410256412,11.0,12.0,14.0,16.0,17.200000000000003,,,,,,,,,,,,10.5,2754.2,,,,63.25,67.0,,,8.652413878680205,6.631578947368421
7,72,183.0,55.0,57.0,,7.0,24.0,14.0,13.0,13.0,95.0,23.0,22004.0,0.0,0.0,4440.0,11580.0,6000.0,60.0,3411.0,1230.0,12525.0,,,,,,,,group4,4,dataset_user_4_train.csv,720.0,79.16666666666667,20.724381776062707,55.0,183.0,128.0,76.0,11.0,6696.861111111111,58.0,64.0,76.0,86.0,102.0,0.06430352553406418,-0.012517385257301807,7.006343970463596,4.410292072322671,534.0,14.00561797752809,2.466624839988814,8.0,,,14.0,2.0,202.24157303370785,11.0,12.0,14.0,16.0,18.0,0.002373044110250309,0.0075046904315197,,,325.0,23.046153846153846,19.096218529598406,1.0,88.0,87.0,22.0,15.0,895.7907692307692,2.0,6.0,22.0,35.0,49.0,0.16068271197105552,0.040123456790123455,10.561764021413168,6.898148148148148
7,93,129.0,59.0,62.0,71.0,6.0,21.0,15.0,14.0,14.0,98.0,39.0,32700.0,0.0,0.0,5040.0,19320.0,8340.0,,2622.0,803.0,9233.0,,,,,,,,group4,40,dataset_user_40_train.csv,720.0,83.8861111111111,16.608425786291892,59.0,129.0,70.0,83.0,13.0,7312.719444444445,65.0,69.0,83.0,94.0,108.0,0.050748233182034176,0.004172461752433936,5.059999873921115,3.2948539638386647,613.0,14.34094616639478,2.153089608756122,8.0,20.0,12.0,14.0,1.0,210.29853181076672,12.0,13.0,14.0,15.0,17.0,0.0016543997176002138,-0.0032679738562091504,2.0848008415925596,1.5032679738562091,373.0,39.58981233243968,29.57057452003044,2.0,97.0,95.0,27.0,19.0,2441.7721179624664,8.0,12.0,27.0,69.0,80.80000000000001,0.19932215100627532,0.03763440860215054,9.431626206471554,5.795698924731183
8,73,195.0,57.0,59.0,,7.0,21.0,15.0,13.0,13.0,97.0,25.0,21960.0,0.0,0.0,4200.0,15180.0,2580.0,1800.0,3066.0,885.0,8999.0,,13.0,9.0,19.0,1.0,16.0,64.0,group4,4,dataset_user_4_train.csv,673.0,78.42050520059435,17.687732043043166,57.0,195.0,138.0,75.0,10.0,6462.631500742942,61.0,66.0,75.0,86.0,100.0,0.03201673965912218,-0.005952380952380952,6.232830725671546,3.955357142857143,520.0,14.338461538461539,2.4148701068869305,7.0,21.0,14.0,14.0,2.0,211.42307692307693,12.0,13.0,14.0,16.0,18.0,0.0022670771142474073,0.0019267822736030828,2.3666753805442418,1.6859344894026975,318.0,24.4874213836478,16.33180422365497,3.0,96.0,93.0,21.0,6.0,866.3616352201258,10.0,15.0,21.0,26.0,46.30000000000001,0.04219091302782955,-0.031545741324921134,10.610940806691591,6.416403785488959
8,67,136.0,58.0,59.0,67.0,7.0,22.0,14.0,14.0,14.0,99.0,42.0,28826.0,0.0,0.0,6120.0,16020.0,6720.0,240.0,2847.0,1028.0,5003.0,,14.0,10.0,19.0,0.0,15.0,,group4,40,dataset_user_40_train.csv,704.0,85.73863636363636,18.662976425254005,58.0,136.0,78.0,83.0,15.0,7699.420454545455,62.0,69.0,83.0,101.0,111.0,0.07231414963777787,0.02844950213371266,5.1682132482291365,3.3627311522048364,625.0,14.1184,2.108739301099119,,20.0,13.0,14.0,1.0,203.776,11.0,13.0,14.0,16.0,17.0,-0.002140624231998034,,2.155753124058253,1.5833333333333333,375.0,41.48,29.093394439288105,5.0,99.0,94.0,32.0,20.0,2567.016,10.0,16.0,32.0,67.5,87.60000000000002,0.21696393218796223,0.034759358288770054,9.201335076394125,5.804812834224599
9,77,120.0,51.0,55.0,61.0,8.0,23.0,15.0,13.0,12.0,94.0,28.0,20160.0,4260.0,0.0,4200.0,11820.0,4140.0,120.0,2580.0,399.0,6482.0,,13.0,11.0,19.0,0.0,9.0,60.0,group4,4,dataset_user_4_train.csv,720.0,74.25833333333334,12.489214791615648,51.0,120.0,69.0,74.0,9.0,5670.280555555555,58.0,64.0,74.0,82.25,91.0,0.02244992113539314,-0.005563282336578581,5.557134990283873,3.6968011126564675,617.0,14.39708265802269,2.323760277970245,8.0,21.0,13.0,14.0,2.0,212.67585089141005,12.0,13.0,14.0,16.0,17.0,0.002877533475006371,0.003246753246753247,2.3562549757064506,1.7012987012987013,390.0,27.71025641025641,20.323427114486464,1.0,90.0,89.0,23.0,12.0,1180.9,3.9000000000000057,13.0,23.0,40.0,58.0,0.07011192608862549,-0.010282776349614395,10.112981154821528,6.760925449871466
9,75,160.0,60.0,61.0,66.0,8.0,23.0,15.0,14.0,14.0,99.0,39.0,21803.0,0.0,0.0,3120.0,14460.0,4260.0,0.0,2972.0,1153.0,6428.0,,14.0,10.0,18.0,0.0,29.0,70.0,group4,40,dataset_user_40_train.csv,720.0,88.54722222222222,18.984876819181792,60.0,160.0,100.0,86.0,13.0,8201.03611111111,65.0,74.0,86.0,101.0,116.0,0.029382772729114038,-0.012517385257301807,5.074807195517158,3.3393602225312935,605.0,14.231404958677686,2.3529841456600336,8.0,22.0,14.0,14.0,1.0,208.0694214876033,11.0,13.0,14.0,16.0,17.0,0.003321500121113857,-0.0033112582781456954,2.2070002181062267,1.5496688741721854,364.0,38.612637362637365,24.03902401225767,3.0,98.0,95.0,34.0,18.0,2068.8104395604396,10.0,20.0,34.0,55.0,74.0,0.06639325804954697,-0.02203856749311295,11.146881080720007,7.6088154269972454
10,86,108.0,56.0,62.0,62.0,7.0,21.0,14.0,,17.0,,17.0,,,,,,,,2699.0,269.0,5362.0,,17.0,13.0,24.0,0.0,10.0,65.0,group4,22,dataset_user_22_train.csv,,72.84382871536523,9.677457951023884,56.0,108.0,52.0,71.0,5.0,5399.8765743073045,63.0,66.0,71.0,77.0,87.0,0.00833455116203872,,6.277781333039779,,,13.838509316770187,2.7035762400823917,8.0,20.0,12.0,14.0,2.0,198.8136645962733,10.0,12.0,14.0,16.0,17.0,0.0019118235630187406,0.0,,,,16.95049504950495,12.700180272848366,2.0,75.0,73.0,14.0,6.0,448.61386138613864,5.0,9.0,14.0,20.75,31.0,0.04907181402648758,-0.024875621890547265,13.012981582294929,
10,84,98.0,50.0,51.0,59.0,7.0,23.0,15.0,12.0,13.0,87.0,20.0,21162.0,0.0,0.0,3780.0,12000.0,5400.0,120.0,2268.0,87.0,2258.0,,12.0,10.0,17.0,0.0,7.0,57.0,group4,4,dataset_user_4_train.csv,720.0,67.51805555555555,9.942596720800314,50.0,98.0,48.0,67.0,7.0,4657.543055555556,54.0,60.0,67.0,74.0,80.10000000000002,0.02702826394341039,0.005563282336578581,4.902381945943126,3.41029207232267,660.0,14.175757575757576,2.319747936023445,8.0,21.0,13.0,14.0,2.0,206.33333333333334,11.0,12.0,14.0,16.0,17.0,0.0022981102928485726,-0.004552352048558422,2.0660513175997766,1.5584218512898331,410.0,20.153658536585365,15.437467844318846,1.0,83.0,82.0,19.0,9.0,644.4853658536585,2.0,8.0,19.0,25.0,40.0,0.07725491032505671,0.0024449877750611247,9.41582156444812,5.69437652811736
10,86,135.0,59.0,62.0,65.0,7.0,24.0,15.0,14.0,14.0,99.0,32.0,25010.0,0.0,0.0,3060.0,13860.0,8100.0,660.0,2363.0,544.0,4479.0,,14.0,8.0,20.0,1.0,23.0,70.0,group4,40,dataset_user_40_train.csv,720.0,82.08333333333333,13.903087187144203,59.0,135.0,76.0,81.0,8.0,6930.969444444445,66.0,71.0,81.0,88.0,103.0,0.046924730436079816,0.027816411682892908,4.997001002098564,3.376912378303199,643.0,14.208398133748055,2.347055549254713,8.0,23.0,15.0,14.0,2.0,207.38724727838257,11.0,12.0,14.0,16.0,17.0,0.0013491516310294841,0.001557632398753894,2.4009987675068625,1.8021806853582554,393.0,31.577608142493638,20.245307498379816,4.0,98.0,94.0,25.0,12.0,1407.0178117048347,10.200000000000003,16.0,25.0,43.0,58.0,0.10722687959207398,0.06377551020408163,11.090238124760443,7.002551020408164
11,83,108.0,52.0,60.0,61.0,6.0,25.0,13.0,17.0,16.0,,18.0,24420.0,0.0,0.0,6420.0,11760.0,6240.0,360.0,2636.0,206.0,4659.0,,,,,,,,group4,22,dataset_user_22_train.csv,720.0,67.46388888888889,7.579491802730202,52.0,108.0,56.0,66.0,3.0,4608.825,61.0,63.0,66.0,69.25,78.0,,0.0,5.436701118715466,3.6383866481223923,663.0,14.283559577677226,2.8509189329561098,7.0,24.0,17.0,15.0,2.0,212.14781297134238,11.0,12.0,15.0,16.0,18.0,-0.007293256908922344,-0.004531722054380665,2.259249669856339,1.6570996978851964,434.0,18.07373271889401,10.683942962169134,1.0,,,17.0,5.0,440.80645161290323,6.0,11.25,17.0,22.0,28.0,0.04577790712140657,0.009237875288683603,8.468112044019412,5.593533487297922
11,89,102.0,51.0,51.0,58.0,7.0,22.0,14.0,13.0,13.0,95.0,24.0,25590.0,0.0,0.0,4860.0,15000.0,5760.0,1500.0,2373.0,192.0,3829.0,,13.0,9.0,18.0,2.0,7.0,56.0,group4,4,dataset_user_4_train.csv,714.0,68.84313725490196,11.737346806054035,51.0,102.0,51.0,69.0,9.0,4877.142857142857,54.0,58.0,69.0,77.0,84.70000000000005,0.03748176582101175,0.001402524544179523,5.219044664058301,3.4488078541374474,622.0,13.961414790996784,2.1551829231993365,7.0,21.0,14.0,14.0,2.0,199.56591639871382,11.0,12.0,14.0,15.0,17.0,0.0021769835896697106,0.0,2.208897248207824,1.6360708534621577,380.0,23.49736842105263,18.367233222036653,1.0,93.0,92.0,22.0,14.0,889.4815789473685,3.0,6.75,22.0,34.0,48.10000000000002,0.12107493819209274,0.002638522427440633,10.75378038228859,6.445910290237467
11,85,138.0,63.0,66.0,65.0,8.0,21.0,14.0,14.0,13.0,93.0,32.0,31560.0,0.0,0.0,6900.0,17280.0,7380.0,600.0,2215.0,396.0,4703.0,,14.0,9.0,19.0,0.0,22.0,70.0,group4,40,dataset_user_40_train.csv,709.0,81.02538787023977,12.054737816893484,63.0,138.0,75.0,80.0,9.0,6710.430183356841,68.0,71.0,80.0,88.0,98.0,0.036173186473674596,-0.03248587570621469,4.93177361560354,3.139830508474576,616.0,14.058441558441558,2.0369540954190213,8.0,21.0,13.0,14.0,1.0,201.78896103896105,12.0,13.0,14.0,15.0,17.0,0.0003099797779008753,-0.008130081300813009,2.2418631006242653,1.6243902439024391,367.0,31.03814713896458,19.28839395921895,6.0,92.0,86.0,24.0,10.0,1335.408719346049,12.0,17.0,24.0,41.5,63.0,0.11179309226433819,-0.05191256830601093,10.126523856344818,6.609289617486339
12,83,122.0,56.0,58.0,60.0,8.0,23.0,15.0,16.0,15.0,99.0,40.0,25315.0,0.0,0.0,4080.0,,5400.0,60.0,3162.0,732.0,5929.0,,16.0,12.0,21.0,0.0,14.0,62.0,group4,22,dataset_user_22_train.csv,695.0,77.29208633093525,15.045050165956381,56.0,122.0,66.0,75.0,13.0,6200.420143884892,60.0,63.0,75.0,90.0,98.0,0.04244747300639067,-0.010086455331412104,5.670710606454083,3.675792507204611,597.0,15.12395309882747,2.5410622657338195,8.0,22.0,14.0,15.0,2.0,235.19095477386935,12.0,13.0,15.0,17.0,18.0,-0.003492412117826907,-0.0016778523489932886,2.4250504464923965,1.7164429530201342,385.0,39.88831168831169,,4.0,98.0,94.0,29.0,20.0,,8.0,14.0,29.0,,82.0,0.16857462485700828,-0.018229166666666668,9.336430716864768,6.169270833333333
12,59,99.0,51.0,52.0,57.0,6.0,21.0,15.0,13.0,14.0,86.0,20.0,28020.0,0.0,0.0,5460.0,16500.0,6060.0,1260.0,2568.0,387.0,12775.0,,13.0,10.0,19.0,2.0,12.0,57.0,group4,4,dataset_user_4_train.csv,,68.65928449744463,12.840514094606185,51.0,99.0,48.0,68.0,11.0,4878.976149914821,53.0,57.0,68.0,78.0,88.39999999999998,0.04674147045425609,0.02218430034129693,5.142792365784294,3.407849829351536,439.0,13.913439635535308,2.195828881926452,8.0,21.0,13.0,14.0,2.0,198.40546697038724,12.0,12.0,14.0,15.0,17.0,0.0006046516905567677,0.0,1.9977155903453014,,266.0,19.533834586466167,15.466942129256875,1.0,84.0,83.0,15.0,9.0,620.796992481203,5.0,8.0,15.0,25.75,43.5,0.1109134931881325,0.09811320754716982,9.668749320421247,5.471698113207547
12,91,131.0,58.0,62.0,65.0,8.0,23.0,15.0,13.0,14.0,96.0,36.0,32520.0,0.0,0.0,6060.0,19080.0,7380.0,720.0,2147.0,328.0,2949.0,,13.0,9.0,20.0,1.0,22.0,69.0,group4,40,dataset_user_40_train.csv,720.0,82.09583333333333,12.868371405849649,58.0,131.0,73.0,83.0,10.0,6905.320833333333,65.0,71.0,83.0,91.0,97.0,0.03893903794824706,0.022253129346314324,4.633380119857537,3.001390820584145,649.0,14.394453004622497,2.0513515522164036,8.0,20.0,12.0,14.0,1.0,211.40832049306624,12.0,13.0,14.0,16.0,17.0,0.003209408294154056,0.0030864197530864196,2.081663711396834,1.537037037037037,413.0,36.15496368038741,21.465670679826392,2.0,91.0,89.0,34.0,18.0,1767.956416464891,10.0,17.0,34.0,53.0,67.80000000000001,0.11514088861678848,0.043689320388349516,11.02613990235008,7.563106796116505
13,79,146.0,52.0,54.0,59.0,8.0,25.0,18.0,15.0,15.0,94.0,27.0,24463.0,0.0,0.0,5100.0,12540.0,6840.0,60.0,3045.0,615.0,4703.0,,15.0,11.0,18.0,0.0,14.0,58.0,group4,22,dataset_user_22_train.csv,,73.24844720496894,17.590004357088986,52.0,146.0,94.0,70.0,12.0,5674.743271221532,55.0,59.0,70.0,82.0,97.0,,0.02074688796680498,6.339593120692708,3.5269709543568464,,16.101149425287357,2.6865135400106563,9.0,24.0,15.0,16.0,2.0,266.46436781609196,13.0,14.0,16.0,18.0,20.0,,0.0069124423963133645,2.1104192163718,,,26.770428015564203,22.579341756035955,1.0,90.0,89.0,22.0,15.0,1226.4824902723735,3.6000000000000014,8.0,22.0,42.0,63.400000000000006,0.1995174362048683,0.0546875,10.887786013572445,6.25
13,53,133.0,,,80.0,8.0,24.0,16.0,,18.0,99.0,,,,,,,,,1983.0,240.0,707.0,,18.0,13.0,22.0,1.0,,76.0,group4,31,dataset_user_31_train.csv,,91.28771929824562,10.268057609845265,,133.0,58.0,90.0,5.0,8438.880701754386,,,90.0,95.0,101.0,,,5.220627063402626,3.742957746478873,,15.665271966527197,3.037576217562062,8.0,22.0,14.0,15.0,2.0,254.6276150627615,12.0,13.5,15.0,18.0,20.0,,,,,,,13.951080713020927,,86.0,,,10.5,,,,,,75.0,,,10.278085697154598,7.532374100719425
13,94,111.0,55.0,57.0,55.0,7.0,23.0,15.0,14.0,13.0,95.0,38.0,17580.0,0.0,0.0,5220.0,10380.0,1980.0,1260.0,2694.0,513.0,11475.0,,14.0,11.0,19.0,2.0,25.0,63.0,group4,4,dataset_user_4_train.csv,626.0,76.42332268370608,11.458274037212133,56.0,111.0,55.0,76.5,8.5,5971.816293929713,61.0,67.0,76.5,84.0,91.0,0.02066787532292829,-0.0192,5.467543448387036,3.6704,489.0,14.952965235173824,2.656903728807139,7.0,21.0,14.0,15.0,2.0,230.65030674846625,12.0,13.0,15.0,17.0,19.0,0.0008312688446594571,0.0020491803278688526,2.325463972222723,1.6290983606557377,298.0,37.37919463087248,20.14529030565287,7.0,85.0,78.0,34.0,17.0,1803.0369127516778,14.0,20.0,34.0,55.0,65.30000000000001,0.06016870008699597,-0.09427609427609428,11.217074567359258,7.185185185185185
13,85,116.0,59.0,62.0,62.0,9.0,23.0,15.0,14.0,13.0,96.0,36.0,31407.0,0.0,0.0,5940.0,18060.0,7440.0,420.0,2165.0,346.0,3652.0,,14.0,11.0,18.0,1.0,16.0,68.0,group4,40,dataset_user_40_train.csv,720.0,81.77638888888889,12.711379340482853,59.0,116.0,57.0,84.0,9.0,6848.956944444444,64.0,69.0,84.0,90.0,97.0,0.03999157341481498,0.01808066759388039,4.6664495042175345,3.1057023643949933,639.0,14.4037558685446,1.8554285223184148,,23.0,14.0,14.0,1.0,210.91079812206573,12.0,13.0,14.0,16.0,17.0,0.001713099916111087,0.0,2.324059792366646,1.652037617554859,396.0,36.19444444444444,21.40388592690977,5.0,95.0,90.0,38.0,20.0,1768.1641414141413,9.0,14.0,38.0,54.0,63.0,0.11862627164415895,-0.017721518987341773,10.667693562704395,7.253164556962025
